name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
Ambedkar Nagar,0047-04-05 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000D868F7B3319D53406E9FB890057E31409FC1F05B3E9D534016C393E53D7E3140AB51F633489D5340DF102E0D917E31403AB5F12F5B9D53408FD76AAC507E3140F1D6F9B74B9D53407C6817BAAF7D3140D868F7B3319D53406E9FB890057E3140,15,131,1460,315,315,109,10,4,0,301,1412,48,13,0,0,200,86,16,51,198,66,4459,4604,9270,2,15,9,289,4,
Chintal Harijan Basthi,0048-09-06 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000E13EF6A3F69C53403CBD3188387E3140FEB7F547169D5340F2A96B061B7E3140078BF5D3209D5340A6194119997E3140E449F343FC9C53407D3E2DB3C67E3140E13EF6A3F69C53403CBD3188387E3140,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Vajpay Nagar,0049-08-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000D81701FC709D53402AEFBAE95C7F31400A45FCBB659D53408D8C829ED57F31403091FBEB8F9D53402C02AD0A1E803140402CFE639F9D534077E3F62E527F31401DEBFBD37A9D5340966179E3E67E3140D81701FC709D53402AEFBAE95C7F3140,15,130,2100,452,450,41,38,152,101,161,1860,240,401,16,1,0,29,5,145,298,9,3937,4806,11273,0,1,0,451,432,
Dattatreya Nagar,0050-07-17 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000006D43FFE3889D5340A2AD73A12C7F31402770040C7F9D5340F02C079BB67E3140BFA6FF939C9D5340931CF2C79B7E314083F4FB9BA39D5340B5AAC2F2297F31406D43FFE3889D5340A2AD73A12C7F3140,15,130,1834,456,453,39,107,52,4,293,1834,0,257,5,0,1,185,8,158,296,2,3659,3659,329,9,7,5,435,454,
Sri Krishna Nagar Colony,0052-07-13 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000F76BFCD3D79A534081C75CBE9A8A3140DEAC0318FD9A53401FE7681BA08A3140263D043C069B53402FC9D83B698B3140827603DCDE9A5340E4DFE323948B3140F76BFCD3D79A534081C75CBE9A8A3140,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Petbasheerabad,0053-12-07 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000C2A500A4B89E5340CA7A2068BB83314083E8FF0BBA9E5340D2A8E1D71F8331402BBAFD0BE79E534067C17A922A83314063AFFBB7E09E5340D7B827DDD0833140C2A500A4B89E5340CA7A2068BB833140,15,130,1035,257,257,40,60,57,6,134,1035,0,197,0,0,3,56,1,147,109,1,4425,3902,7626,3,2,16,236,19,
Vennela Gadda,0056-10-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000500000086AB03202E9E5340D1E000440B803140140FFF1B419E5340E8AD2E65E87F31406367022C4F9E5340DAA447F8838031409389004C3E9E534000069B9DB980314086AB03202E9E5340D1E000440B803140,15,130,898,227,227,6,39,0,0,188,898,0,104,5,1,0,117,0,42,184,1,4078,4406,61372,0,2,0,225,135,
LB Nagar Mandula Basti,0033-02-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000EFB6035C2D9F5340B3DB3E16687A3140A05E004C1F9F534043CB3647887A3140A93100D8299F5340B9A5D590B87A3140F88903E8379F534029B6DD5F987A3140EFB6035C2D9F5340B3DB3E16687A3140,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sarveshan Gutta,0038-04-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B000000E41B022EA5A053403CD79C28AE843140A869FE35ACA05340E00A51530585314069ACFD9DADA05340ECDD40FD3E8531400F7AFCFFB4A053408FF8BAB145853140B5F9030EB6A0534087B5219431853140D37901B4B5A053402E83DED926853140D98FFBF3C0A0534018252A4CC6843140DC4C0140C0A0534023DFDF7FAF84314025DD0164C9A05340F0A63A689F843140E92AFE6BD0A05340B3E3D06C68843140E41B022EA5A053403CD79C28AE843140,16,133,336,76,39,4,27,15,0,34,333,3,49,2,0,0,21,4,46,27,3,4765,4201,23092,18,5,1,52,48,
"Tulasi Das Mutt, Pardi Basti",0036-04-06 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000EFF20058D5A0534087EEC4726C84314007ABFB11D0A053404DA5FA29E98431407D56FC53E8A053407752DB5DD28431402324FBB5EFA05340A22EADE17D84314030B4008EF9A05340A22EADE17D843140CCAEFF63F6A053400ACEE86060843140D788FDF1E0A0534082F3561B6B843140EFF20058D5A0534087EEC4726C843140,16,133,335,75,64,0,1,13,11,50,304,31,62,0,0,0,12,1,33,41,1,4480,3524,38133,51,1,0,23,3,
Dinsi Basthi,0036-10-07 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000A25304F6A0A053406DC7167AAB843140A25304F6A0A05340BD6E95508F8431404B2C00F8ADA053405E41E43E83843140EA31FC6DB0A053404EBBB1035B8431401542FFEBB9A05340BE9D86A051843140DF57FEDFC5A0534069E25FFC1B8431400D73FEFDD4A0534069E25FFC1B843140D17203B2D5A053409AEB13C469843140A25304F6A0A053406DC7167AAB843140,16,133,775,187,168,49,54,18,12,103,768,7,114,4,0,0,67,2,89,94,4,4067,4130,28989,110,4,1,72,60,3
Mahatma Gandhi Nagar,0039-05-13 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000001A06033A99A05340089FF7109E843140872CFB43ADA05340089FF7109E843140AE310122B1A053404EBBB1035B843140F404FCF9BAA05340EF8D00F24E843140570AFD23BEA053405CA4588706843140B90BFFAF9BA053408D94D2D8038431401A06033A99A05340089FF7109E843140,16,133,1422,346,256,47,71,41,10,224,1249,173,202,1,1,0,141,1,276,64,6,4981,4076,45736,221,17,14,94,48,
Ambedkar Nagar,0045-05-01 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000C317FDD393A25340B985B6B5E8813140D0A702AC9DA25340236D1DFBDD8131400CA8FDF79CA25340F2A3D06861823140845AFC3B95A2534005A11FBA5E823140C317FDD393A25340B985B6B5E8813140,16,134,338,79,74,3,4,48,2,25,282,56,46,0,0,0,33,0,53,24,2,4318,4014,47506,13,2,0,64,10,
Bhagat Singh Nagar,0002-01-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000600000083A604489D9D534082678C20DF72314083A604489D9D5340DBF5353FBC72314029C2FAFDAA9D5340E6EB11EEBE72314032470336AF9D5340CB04EC38B872314032470336AF9D53408762FA77E072314083A604489D9D534082678C20DF723140,18,148,447,111,111,12,4,66,3,38,329,118,100,1,0,2,2,6,81,21,9,2719,2230,2432,1,4,2,104,62,40
Ambedkar Nagar,0004-04-13 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000002F8AFDE9AF9D5340CB04EC38B872314032470336AF9D53406880666BD87231401ADDFFCFBA9D53406880666BD8723140B7D7FEA5B79D53408C40C41FA87231402F8AFDE9AF9D5340CB04EC38B8723140,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Old Customs Basti,0005-03-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000F69AFD052B9D534045C67AD5907031400BFA03CC199D5340F4891B3BD170314050CDFEA3239D534019B2F480FD703140B7DDFC6D2C9D53405687B38D05713140E8B502D83A9D5340B204C6B8EA7031403BBCEF313B9D534012326F59AE7031408709F6A1439D5340CF6142F5A4703140E803FA2B419D53401BA3333863703140F69AFD052B9D534045C67AD590703140,18,148,2141,527,495,290,324,94,2,107,2031,110,383,27,7,0,105,5,372,147,8,2527,1995,38,20,97,43,367,183,28
Brahmanwadi,0009-11-09 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000090000002F8DFC4D6A9D53404016E45FB2703140F0810462659D5340CA66D49DA370314081F0FCFD7D9D53402ADF54208A7031405F5E04B6989D5340EDBEBE315F703140BC9B02F4969D5340A53EFB577770314069380244839D5340829B39E2987031400633011A809D53400D370102AD703140DEDF03E8759D53405FF8776CBA7031402F8DFC4D6A9D53404016E45FB2703140,18,148,835,222,207,29,40,23,8,151,824,11,210,0,0,0,1,11,219,1,2,2308,1611,0,18,0,0,204,186,32
Allugaddathota Baavi,0008-01-07 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000080000001DEBFBD37A9D53404150244EDD7031405BA1FE69999D5340928C83E89C703140A431FF8DA29D5340DAA2F585CA703140710404CEAD9D5340FD45B7FBA87031407BD7035AB89D5340C7F07D16F070314029C2FAFDAA9D5340FD43E1504B7131407616FF6F939D534053C685242F7131401DEBFBD37A9D53404150244EDD703140,18,148,720,179,177,6,52,109,1,17,712,8,5,1,0,8,82,83,69,106,4,5064,5012,85788,10,7,6,156,38,
Mataji Nagar,0010-07-12 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000636D00F4C39D5340254E38054370314027BBFCFBCA9D5340157C6859D66F3140F58D013CD69D5340A0173079EA6F31402A780248CA9D5340209EA18F64703140636D00F4C39D5340254E380543703140,18,148,475,124,122,4,10,13,0,101,347,128,100,1,1,0,11,11,89,34,1,4535,3444,0,0,0,1,123,59,30
Prakash Nagar i8,0010-11-14 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000008E16F3B51F9E5340A7C13C7D67713140CDD3F34D1E9E534040140EB5547131405933F0AB0B9E53407DE9CCC15C7131407E7BF03D109E5340EF8CD738727131408E16F3B51F9E5340A7C13C7D67713140,18,148,181,45,36,5,0,19,3,23,169,12,32,11,1,0,1,0,33,12,0,4533,3384,3022,0,0,6,39,1,35
Tabela Vikar Ul Mulk Devdi,0008-09-01 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000E02BFC112D9E5340E596FB896F71314023A602F62A9E534049D0A9752C713140CC7EFEF7379E534053C685242F713140CC7EFEF7379E5340DF9B8D326E713140E02BFC112D9E5340E596FB896F713140,18,148,450,116,116,64,60,25,12,19,450,0,107,0,0,0,0,9,116,0,0,1961,1499,0,27,15,0,74,116,9
LBS Nagar,0011-02-12 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000C8730144379E5340C1FB2B66B6703140606E00B2329E5340E951597187703140E8FEFB213B9E5340FC7B65AF787031405004FDA53E9E5340ED485446A2703140C8730144379E5340C1FB2B66B6703140,18,148,476,119,119,40,34,14,0,71,476,0,117,0,0,0,1,1,115,3,1,2353,1756,252,24,1,0,94,79,55
Gowtham Nagar,0012-10-15 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000500000090C1FDD8389E5340276F02E7657031401004026B3D9E5340713C0C2D927031409894FDF9449E53408CC5CB1684703140700903003F9E53409153EED35970314090C1FDD8389E5340276F02E765703140,18,148,434,117,117,17,3,20,0,94,434,0,113,0,0,0,0,4,117,0,0,1997,1362,0,40,7,0,70,115,32
NBT Nagar,0013-11-15 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000007000000171AFCBB469E5340039C187185703140278C033B409E5340DE733F2B5970314084C901793E9E5340054115711970314069540173449E5340C76B566411703140BE9903CA479E5340AB945CCD53703140006201024C9E53409F63D55A77703140171AFCBB469E5340039C187185703140,18,148,2143,510,505,124,16,306,5,183,2102,41,298,32,2,2,171,5,450,26,34,3288,3240,0,8,5,5,492,335,29
Old Patigadda,0011-07-11 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000006B3304B6799E53409B1CC221E96F31406B3304B6799E5340B072CBBBA86F3140AEFB01EE7D9E5340828E56B5A46F3140F0C3FF25829E5340584C95BDDF6F31406B3304B6799E53409B1CC221E96F3140,18,148,1559,374,370,56,27,146,1,200,1535,24,207,16,5,1,141,4,275,60,39,3166,3214,11,6,1,6,361,151,80
Ambedkar Nagar Hussain Sagar,0015-08-14 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000687000A2059F53404A79EFA0C06E31406B7BFD410B9F53405DC115D4E06E31402E7404F42B9F534092EAF9A2566E3140E8EE0070289F5340EF5675DA436E3140687000A2059F53404A79EFA0C06E3140,18,146,903,228,222,100,88,29,2,109,699,204,67,124,21,0,6,10,183,43,2,3042,2353,42899,0,3,7,218,31,
Vengalrao Nagar,0014-06-06 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000002544F1110E9F5340E1BDDD710E6F314068BEF7F50B9F534048203558FE6E3140DD65F999FE9E5340A9E38CBC076F31403AA3F7D7FC9E53409442AC40256F31409118F329F69E53406FB081BE3E6F3140D79DF6ADF99E5340C171F8284C6F31402544F1110E9F5340E1BDDD710E6F3140,18,148,540,128,104,25,6,84,0,38,229,311,100,14,0,1,6,7,28,7,93,2805,2712,0,1,0,3,124,18,18
Kachi Bowli,0016-05-09 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000008AAD0394049F53404CC2E8663D6F31402F7B02F60B9F53406FFB58A0616F31407243002E109F5340372108EB5A6F31402CBEFCA90C9F534051727FDC1B6F31408AAD0394049F53404CC2E8663D6F3140,18,147,517,100,81,5,12,19,1,68,480,37,79,11,1,0,6,3,87,12,1,3481,4245,19320,9,2,0,89,44,30
Karim Compound,0015-01-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000EDB204BE079F534010CCD1E3F76F3140F785044A129F53405DFC2B33BE6F3140B716FB051A9F5340256DB25FDA6F31409996FD5F1A9F5340E8E2CA34F56F3140EDB204BE079F534010CCD1E3F76F3140,18,147,166,44,41,15,12,12,6,14,158,8,20,17,1,0,4,2,22,22,0,3489,2527,27852,0,0,25,19,0,25
Nalla Gutta,0016-06-08 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000001E27F9CF229F534020BD1BEAFB6F314021E4FE1B229F53405A5A78247F6F31400A2C0462279F53404F649C757C6F3140C7B1FD7D299F5340539CFE47017031401E27F9CF229F534020BD1BEAFB6F3140,18,147,1782,456,321,81,59,36,2,359,1611,171,316,28,3,4,104,1,402,50,4,2968,2562,7283,3,1,51,401,135,24
Guiden Bagh,0018-02-06 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000DF1B01E41D9F534097E45F4F646F3140462CFFAD269F534097E45F4F646F314028AC0108279F53404A692E1E7B6F31409CA1FAFF1F9F5340456EC0C6796F31409CA1FAFF1F9F5340CFBEB0046B6F3140DF1B01E41D9F534097E45F4F646F3140,18,147,572,122,109,87,77,19,0,26,484,88,87,7,0,2,25,1,81,29,12,2955,2739,0,1,2,2,117,98,25
Kasturba Nagar,0019-10-10 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000AC3CFD772F9F5340D17203B2956E3140D184FD09349F5340D17203B2956E314052BC0486309F5340BE2ADD7E756E31406A74FF3F2B9F53409B3C4427746E3140AC3CFD772F9F5340D17203B2956E3140,18,146,43,11,10,0,0,0,0,11,43,0,11,0,0,0,0,0,0,0,11,4409,3273,121818,1,0,0,10,5,
Zeera Garden,0021-03-07 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000004A3BFBEB519F53402B5B7735716D31404A3BFBEB519F53407C69A39D476D31401146FD3F589F5340816411F5486D31401503038C579F53406335C8EA776D31404A3BFBEB519F53402B5B7735716D3140,18,146,290,66,63,1,1,0,0,65,229,61,58,2,0,1,3,2,1,63,2,5315,3874,16970,0,0,0,66,21,6
Indira Nagar Zeera,0022-08-16 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000003795FBD33C9F534070CF35C45F6D31407395F61F3C9F5340EEC1D6323A6D31405820F619429F5340EEC1D6323A6D3140FBE2F7DB439F53406AD4C76C5E6D31403795FBD33C9F534070CF35C45F6D3140,18,146,299,78,71,2,8,0,3,67,233,66,53,0,0,0,25,0,56,19,3,4612,3891,47795,0,0,0,78,24,
Somappa Mutt,0020-08-10 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000A82A02D6499F5340C461A38BD16C3140754BFE695B9F53400ED1CF71C16C3140FA8D02865D9F534085E85254E46C3140EDFDFCAD539F5340E6ABAAB8ED6C3140A82A02D6499F5340C461A38BD16C3140,18,146,335,87,83,0,3,0,0,84,294,41,35,50,0,0,0,2,2,45,40,3243,3140,26411,0,1,0,86,13,
Neelam Balaiah Doddi,0023-05-14 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000004000000FD98FF25639F53402D3B276A276D3140DC0D05E05D9F5340417494C5F56C3140DC5BFC33649F534013901FBFF16C3140FD98FF25639F53402D3B276A276D3140,18,146,144,32,30,0,1,0,0,31,134,10,7,11,1,12,0,1,4,4,24,4547,3419,3125,13,0,0,19,2,
Gangarella Reddy,0022-01-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000700000082DB0342659F53403C79266EF46C31406766033C6B9F5340E6ABAAB8ED6C314064A9FDEF6B9F5340AC2DC8D8016D3140E223FF1F699F5340FCFFD536076D3140C4A3017A699F534067B9094A136D3140BEDBFE8D649F53403AD594430F6D314082DB0342659F53403C79266EF46C3140,18,146,524,134,130,1,4,1,0,129,398,126,2,14,13,86,0,19,1,67,66,4203,3624,43030,0,0,0,134,25,10
Ramaswamy Compound,0021-01-09 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000060000006F3205C6959F5340C59DC195A26C3140AE3DFDB19A9F534031BF68C9C26C314054BD04C09B9F5340B3CCC75AE86C31400870FE4F939F5340BDC2A309EB6C314002A8FB638E9F53401570CFF3A76C31406F3205C6959F5340C59DC195A26C3140,18,146,814,202,157,8,15,154,1,32,681,133,28,28,20,109,14,3,11,190,1,4764,4707,107579,3,4,0,195,61,
Hyder Basti,0023-11-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000E52EFCBF6E9F5340F38FDF57BC6D3140317C0230779F5340535337BCC56D31402EBFFCE3779F534060EDA495AD6D314088F1FD81709F5340629136C0926D3140E52EFCBF6E9F5340F38FDF57BC6D3140,18,146,439,98,87,32,24,56,0,18,340,99,3,40,38,13,4,0,7,86,5,5541,4100,0,0,0,0,98,23,
Potti Sri Ramulu Nagar,0022-02-02 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000988C00FA7F9F5340E7F5717ED46D3140E11C011E899F5340ECF0DFD5D56D3140C6A700188F9F53402FB253628D6D3140103FFF3D789F5340EA3D95D39E6D3140988C00FA7F9F5340E7F5717ED46D3140,18,146,566,131,112,4,4,62,0,65,446,120,3,25,1,73,9,20,2,35,94,3919,3278,18008,0,0,0,131,4,9
Chacha Nehru Nagar 1,0025-04-14 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B000000A46AFD25909F5340FCD27004886D3140DD5FFBD1899F5340ECF0DFD5D56D3140E9E802A8B39F5340E1FA0327D36D31404CEE03D2B69F534055F7C8E6AA6D31400D31033AB89F53406335C8EA776D3140ECF3FF47B99F53409A98ECA7186D314000A1FD61AE9F53405029C0C1286D3140BBCD028AA49F53402D3B276A276D31403C53015AA79F534042EBC0BD5B6D3140D285FD439F9F53406E2BA4997A6D3140A46AFD25909F5340FCD27004886D3140,18,146,3101,762,568,187,86,396,0,280,2599,502,422,52,3,27,242,16,560,155,47,4124,3110,11707,5,62,35,660,524,10
Chacha Nehru Nagar 2,0023-05-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000ECF3FF47B99F53403156E58C726D3140BFDCFEC7CF9F5340FE76022F6D6D3140B914FCDBCA9F53407C69A39D476D3140B609FF3BC59F53401E4ADD63236D314028F4FA93B89F5340B1EC1726326D3140ECF3FF47B99F53403156E58C726D3140,18,146,1837,454,440,68,33,213,0,208,1552,285,337,1,0,0,113,3,322,99,33,5070,3711,8213,6,6,6,436,159,
Gulla Kommaraiah Colony,0025-09-10 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000005F9403EACB9F5340AF4886FB4C6D314056C1035EC19F53402FDFB8940C6D3140E11902BACE9F5340466F021DF76C31400562024CD39F5340448F52E8406D31405F9403EACB9F5340AF4886FB4C6D3140,18,146,713,171,160,8,12,134,0,25,646,67,63,21,0,58,29,0,71,98,2,5193,5104,24351,4,5,2,160,7,
Divine Life Society,0025-06-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000BF2AF61BD69F534021A1B9903F6D3140E0B5F061DB9F5340D58DFB7F6A6D314079A5F297D29F53405E3A5A93766D3140769AF5F7CC9F5340776E3546466D3140BF2AF61BD69F534021A1B9903F6D3140,18,146,579,149,124,20,14,108,0,27,504,75,108,1,0,0,40,0,85,64,0,5001,4032,4161,3,4,1,141,77,
Bholakpur,0027-08-15 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000006ABCF8CBBC9F5340A4CBF67C286C3140B34CF9EFC59F5340EDC2E64E766C3140A1AAF875D69F53409E946A1B566C3140B657F68FCB9F534014BCB6F1066C31406ABCF8CBBC9F5340A4CBF67C286C3140,18,145,1653,404,351,56,76,265,2,61,1504,149,273,3,0,1,125,2,188,187,29,3813,3575,34417,3,10,5,386,57,
Krishna Nagar 1,0025-08-01 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000500000073DDEFABCD9F53400AC6DA42046C314062EDF7DDD79F53409E946A1B566C3140C95E089C19A05340201A06C11D6C31405C8607E60BA053405704206AB26B314073DDEFABCD9F53400AC6DA42046C3140,18,145,1264,314,288,72,100,18,10,186,1264,0,115,1,0,0,197,1,149,161,4,3099,2900,46057,1,1,0,312,21,
Krishna Nagar,0027-02-11 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000005F30F291D89F53407BA6D1C3546C314044BBF18BDE9F5340A94E28C0876C3140AACBEF55E79F5340766F4562826C314033CBF9BDE89F534092BEDE379D6C314064F1F67BFD9F534009128024916C3140BD71EF6DFC9F53406552A6453B6C31405F30F291D89F53407BA6D1C3546C3140,18,145,1350,333,307,32,119,56,2,156,1318,32,118,5,0,0,209,1,111,193,29,3334,3133,30757,1,2,5,325,21,
Jai Nagar,0028-02-03 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000337D026AE29F534090A210F9156D31406F7DFDB5E19F5340AC2DC8D8016D3140D94A01CCE99F53409C3C7ED2FD6C31407850FD41EC9F5340BD8685FF196D3140337D026AE29F534090A210F9156D3140,18,145,256,60,57,2,6,40,0,14,242,14,44,2,0,0,14,0,51,8,1,4922,4523,59833,1,0,0,59,12,
Jai Prakash Nagar,0030-02-04 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000008710FC14EC9F5340EA6C33DB366D3140CA8A02F9E99F5340A6349356196D31405DDBFC3BF29F53409A98ECA7186D31405DDBFC3BF29F5340E9C668DB386D31408710FC14EC9F5340EA6C33DB366D3140,18,145,368,89,84,17,30,15,2,42,368,0,71,1,0,0,16,1,44,44,1,3669,3161,61618,7,1,0,81,8,
Ammuguda,0029-04-05 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000005713FA4FED9F53405DC32D9B106D3140B450F88DEB9F5340C461A38BD16C3140E528FEF7F99F53406F9427D6CA6C3140C7A80052FA9F534090A210F9156D31405713FA4FED9F53405DC32D9B106D3140,18,145,393,86,81,15,21,62,0,3,300,93,65,0,1,3,16,1,5,78,3,3995,4901,30547,1,1,1,83,1,
IDH Colony New,0031-02-06 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000000D2E04D6FD9F534090A210F9156D3140A66BFD5FFB9F534013901FBFF16C31407133050001A05340E6ABAAB8ED6C31401039017603A0534062BE9BF2116D31400D2E04D6FD9F534090A210F9156D3140,18,145,173,40,39,0,0,2,38,0,113,60,18,4,0,17,1,0,7,33,0,3413,3145,25100,1,0,0,39,6,
Subash Chandra Bose Nagar,0030-05-03 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000C4EBFA05FB9F53405FA3DDCFC66C314088EBFFB9FB9F5340E6ABAAB8ED6C31407133050001A0534080EDE4FCE26C3140ECF000E4FE9F5340649E4B27C86C3140C4EBFA05FB9F53405FA3DDCFC66C3140,18,145,110,27,25,5,4,19,2,2,79,31,11,4,0,10,1,1,3,23,1,4963,5422,28704,0,0,1,26,4,
Bokkalaguda,0035-06-09 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000E21D0158F49F5340E89903A9B96D3140C7A80052FA9F53407DEF886DFF6D3140B03EFDEB05A053401D2C3109F66D3140988602320BA0534088E5641C026E31405F91048611A0534022279F60F76D3140EFFBFD8304A0534055F7C8E6AA6D31400A71FE89FE9F534050FC5A8FA96D3140E21D0158F49F5340E89903A9B96D3140,18,145,1753,438,402,53,80,126,7,225,1694,59,250,1,0,1,185,1,216,214,8,3534,3581,24443,235,12,4,187,72,
Waqf Board,0032-12-01 00:00:00.68-04:56:02,51:31.6,0106000020E610000001000000010300000001000000050000006F7AFE5127A0534083EAF6C4006E3140E72CFD951FA05340ABD3FD73036E31406C6F01B221A05340E109BDFE246E314051FA00AC27A05340E109BDFE246E31406F7AFE5127A0534083EAF6C4006E3140,18,141,209,53,51,29,34,12,0,7,209,0,53,0,0,0,0,0,28,24,1,3453,3094,14434,0,1,0,52,7,
Audiah Nagar,0033-01-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000700000033320A7A969F5340F8025018D66E3140D3E90E9C929F53409E932054906E31408C5D0D16AF9F5340E1634DB8996E314038F30E64BB9F5340A7E56AD8AD6E314092730756BA9F53400B4B764BF66E3140DC0A067CA39F53402BE23276DB6E314033320A7A969F5340F8025018D66E3140,18,147,1389,356,347,160,88,203,7,58,1334,55,228,1,78,1,43,5,330,25,1,4161,3965,21073,26,4,1,325,338,55
Samba Murty Nagar,0035-02-03 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000500000074F309B0BA9F534000559A9CF36E314035360918BC9F5340ACE0D82FAF6E314027510EEACB9F5340193E9E6DA06E31400CDC0DE4D19F534002F92BC7D86E314074F309B0BA9F534000559A9CF36E3140,18,147,414,103,102,15,9,91,3,0,300,114,101,0,0,0,0,2,100,2,1,3988,3234,26165,4,0,0,99,7,32
